"Sample_Name","Basename","reason"
"A15JXV","204073520039_R06C01","both IDATs missing"
"A141NQ","204073520049_R02C01","both IDATs missing"
"A141CB","204073520049_R03C01","both IDATs missing"
"A14AUB","204073520049_R04C01","both IDATs missing"
"A12EX5","204792210117_R01C01","both IDATs missing"
"A13FKJ","204792210117_R06C01","both IDATs missing"
"A130ZC","204792210124_R01C01","both IDATs missing"
"A157RL","204792210124_R02C01","both IDATs missing"
"A15GF9","204073520039_R07C01","both IDATs missing"
"A13YLB","204073520049_R01C01","both IDATs missing"
"A14AV9","204073520049_R05C01","both IDATs missing"
"A14ARH","204073520049_R07C01","both IDATs missing"
